id_doc,chunk
7.5 RO FOULING substance (anaysis solution).pdf,"seawater seawater with tds of 35,000 mgl is considered standard seawater constituting , by far , the largest amount of water worldwide . the composition is nearly the same all over the world . the actual tds content may , however , vary within wide limits from the baltic sea with 7,000 mgl to the red sea and arabian gulf with up to 45,000 mgl . the actual compositions can be proportionally estimated from the standard seawater composition table 2.1. the water from seashore wells , however , depending on the soil , influx from inland , etc. , can often have salinity and composition quite different from water taken from the sea itself . table 2.1 standard seawater composition ion calcium magnesium sodium potassium barium strontium iron manganese silica chloride sulfate fluoride bromide nitrate bicarbonate boron other tds ph concentration mgl 410 1,310 10,900 390 0.05 13 0.02 0.01 0.04 8 19,700 2,740 1.4 65 0.7 152 4 5 35,000 mgl 8.1 in table 2.2 and table 2.3 , some chemical and physical characteristics of seawaters with different salinity are shown . table 2.2 inorganic composition of seawater with different salinity water standard seawater 32,000 ppm standard seawater 35,000"
7.5 RO FOULING substance (anaysis solution).pdf,"ppm standard seawater 36,000 ppm standard seawater 38,000 ppm standard seawater 40,000 ppm standard seawater 45,000 ppm standard seawater 50,000 ppm k ppm na ppm mg ppm ca ppm hco3 ppm cl ppm so4 ppm sio2 ppm 130 354 142 387 146 398 154 419 162 441 182 496 202 551 17,742 19,406 19,960 20,999 22,105 24,868 27,633 9,854 10,778 11,086 11,663 12,278 13,812 15,347 2,477 2,710 2,787 2,932 3,086 3,472 3,858 1,182 1,293 1,330 1,399 1,473 1,657 1,841 385 421 433 456 480 539 599 0.9 1.0 1.0 1.0 1.1 1.2 1.4 table 2.3 salinity and conductivity of seawaters location south pacific gran canaria atlantic ocean sardinia mediterranean sea bahrain egypt red sea salinity tds ppm 36,000 37,600 40,800 42,500 44,000 conductivity k scm 51,660 53,280 57,240 59,350 62,990 factor ktds scmppm 1.43 1.44 1.42 1.40 1.40 1.38 the characteristic features of seawater have to be considered in the design and operation of the pretreatment and the reverse osmosis process . as a consequence of the high salinity of seawater involving a high osmotic pressure , the recovery of the system is limited to typically 40 to 50 in order to not exceed the physical pressure limits of the"
7.5 RO FOULING substance (anaysis solution).pdf,"membrane element , or to limit the energy consumption associated with higher feed pressures at higher recoveries , or to limit the salinity andor the boron concentration in the product water . seawaters from open intakes may cause biofouling of the ro membranes if no biofouling prevention measures are in place see section 2.6 , biological fouling prevention . page 23 of 182 trademark of the dow chemical company form no . 609000710705 212 of 865 brackish water the composition of brackish waters is of extremely wide variation , and a water analysis is a must for a good process design . several examples of brackish water analyses are given in table 2.4. in brackish water treatment , the factor limiting recovery is mainly of a chemical nature i.e. , precipitation and scale formation by compounds such as calcium carbonate or calcium sulfate . the potential for biofouling is also another limiting factor in brackish water treatment . a number of methods are available to assess the biological fouling potential see section 2.6.2 , assessment of the biological fouling potential . in industrial and municipal wastewater treatment , a wide variety of organic and inorganic constituents may be present ."
7.5 RO FOULING substance (anaysis solution).pdf,"thus , the limiting factors are sometimes governed by additional characteristics of feed waters , for example the organic matter or the phosphate scaling potential . table 2.4 examples of brackish water composition parameter calcium magnesium sodium potassium iron manganese barium strontium ammonium aluminum chloride bicarbonate sulfate nitrate fluoride phosphate silica hydrogen sulfide tds toc color turbidity ph conductivity temperature well watera 84 6 36 3.3 0.05 0.01 0.07 0.7 0.05 0.02 45 265 24 4.3 0.14 0.05 9 478 1.5 5 7.5 590 12 well waterb 113 2.7 23 2 0.2 0.1 0.1 1 52 325 8 4 0.7 0.6 11 1.5 377 10 40 7.4 23 28 unit mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl mgl pt ntu scm c lake waterc 54 23 87 6.6 0.05 0.01 0.09 1 0.02 67 134 201 1.0 0.01 3.1 573 3.6 8.2 879 surface waterd 102 11 20 4 nd015 0.01 0.3 nd0.15 33 287 56 15 0.25 1.2 7 17 400 2.4 5 2 130 8 400 700 3 25 pretreated tertiary effluente 40 64 150 200 0.02 0.09 0.05 0.01 0.1 0.2 1 22 66 0.03"
7.5 RO FOULING substance (anaysis solution).pdf,"150 500 48.8 97.6 120 160 40 60 0.7 0.7 6.1 12.2 6 10 nd 500 1,300 20 30 cod 13 hazen 0.4 1.7 6.6 7.4 700 2,200 25 35 a. well water germany b. well water the turnpike aquifer in florida design of the boynton beach , fl membrane softening water treatment , proc . awwa annual conference , eng . and op. , 139 1992 c. lake mead , nevada 2000 d. river oise , france e. tertiary effluent industrial water in jurong island , singapore water reclamation the jurong island experience sut seraya using fouling resistant ro membrane to reclaim wastewater , ida , bahrain 2002 with such wide variation in feed water quality , the first step is to know the water characteristics . before a projection of an ro or nf system design can be run , a complete and accurate water analysis must be provided . a water analysis form table 2.5 must be completed and balanced to electroneutrality i.e. , anion and cation concentrations must be identical when stated in terms of the calcium carbonate equivalent . if the water analysis is not balanced , the addition of either na or cl to"
7.5 RO FOULING substance (anaysis solution).pdf,"achieve electroneutrality is recommended . page 24 of 182 trademark of the dow chemical company form no . 609000710705 213 of 865 table 2.5 water analysis for ronf sample identification feed source conductivit y ph temperature c feed water analysis please give units mgl as ion or ppm as caco3 or meql na nh4 k mg2 ca2 ba2 sr2 fe2 fe tot mn2 boron al3 2 co2 co3 hco3 no3 cl f so4 po4 s2 sio2 colloidal sio2 soluble 2 2 other ions tds by method toc bod cod aoc bdoc t otal alkalinity mvalue carbonate alkalinity pvalue t t otal hardness urbidity ntu silt density index sdi bacteria countml free chlorine remar ks odor , smell , color , biological activity , etc . analy sis by date ba2 and sr2 must be analyzed at the 1 gl ppb and 1 mgl ppm level of detection , respectively . it is also important that the temperature be given as a range rather than an absolute value . temperature variation can impact the scaling potential of an ro system , especially when silica and bicarbonate levels in the feed water are high . after the membrane system is in service"
7.5 RO FOULING substance (anaysis solution).pdf,", the feed water should be analyzed on a regular basis so that the pretreatment and the plant operation can be adjusted accordingly . many standards are available for water analysis techniques . it is recommended to use the standards of astm international www.astm.org or the latest edition of standard methods for the examination of water and wastewater1 . page 25 of 182 trademark of the dow chemical company form no . 609000710705 214 of 865 a guide for water analysis for reverse osmosis applications is given in astm d 4195 2 this can be applied to nanofiltration as well . a listing of the relevant astm procedures and standard methods for the examination of water and wastewater are given in table 2.6. table 2.6 standard procedures relevant to water analysis for ronf applications astm d 511 d 512 d 513 d 515 d 516 d 857 d 858 d 859 d 888 d 1068 d 1179 d 1252 , d 6697 d 1253 d 1293 d 1428 , d 3561 d 1426 d 1888 d 1889 d 2579 , d 4129 , d 4839 , d 5904 d 2972 d 3082 d 3352 d 3370 d 3867 d 4189"
7.5 RO FOULING substance (anaysis solution).pdf,"d 4382 f 60 d 1498 calcium and magnesium chloride carbon dioxide , bicarbonate , carbonate phosphorus sulfate aluminum manganese silica dissolved oxygen iron fluoride cod residual chlorine ph lithium , potassium , sodium ammonia nitrogen particulate and dissolved matter turbidity total organic carbon toc arsenic boron strontium practices for sampling water nitrite nitrate silt density index barium microbiological contaminants in water oxidationreduction potential orp bod aoc standard methods 1 3500ca , mg 4500chloride 4500carbon dioxide , 2320 4500p 4500sulfate 3500al 3500mn 4500silica 4500o 3500fe 4500fluoride 5220 4500cl 4500ph value 3500li , na , k 45nh3 2560 2130 5310 3500as 4500b 3500sr 1060 4500nitrogen 3500ba 2580 5210 9217 2.3 scale control 2.3.1 introduction scaling of ronf membranes may occur when sparingly soluble salts are concentrated within the element beyond their solubility limit . for example , if a reverse osmosis plant is operated at 50 recovery , the concentration in the concentrate stream will be almost double the concentration in the feed stream . as the recovery of a plant is increased , so is the risk of scaling . due to water scarcity and environmental concern , adding a brine ro concentrate recovery system to increase recovery has become"
7.5 RO FOULING substance (anaysis solution).pdf,"more popular . to minimize precipitation and scaling , it is important to establish welldesigned scale control measures and avoid exceeding the solubility limits of sparingly soluble salts . in an ronf system , the most common sparingly soluble salts encountered are caso4 , caco3 , and silica . other salts creating a potential scaling problem are caf2 , baso4 , srso4 , and ca3po42 . solubility products of sparingly soluble inorganic compounds are listed in table 2.7. page 26 of 182 trademark of the dow chemical company form no . 609000710705 215 of 865 table 2.7 solubility products of sparingly soluble inorganic compounds formula substance aloh3 aluminum hydroxide alpo4 aluminum phosphate baco3 barium carbonate baso4 barium sulfate caco3 calcium carbonate temp . c 25 25 25 25 25 calcium fluoride calcium phosphate calcium sulfate ironii hydroxide ironii sulfide ironiii hydroxide ironiii phosphate dihydrate lead carbonate lead fluoride lead sulfate magnesium ammonium phosphate magnesium carbonate magnesium fluoride magnesium hydroxide magnesium phosphate manganese hydroxide strontium carbonate strontium sulfate zinc carbonate caf2 ca3po42 caso4 feoh2 fes feoh3 fepo42h2o pbco3 pbf2 pbso4 mgnh4po4 mgco3 mgf2 mgoh2 mg3po42 mnoh2 srco3 srso4 znco3 25 25 25 25 25 25 25 25 25 25 25 12"
7.5 RO FOULING substance (anaysis solution).pdf,"25 18 25 18 25 25 18 25 25 17.4 25 solubility product 3 1034 9.84 1021 2.58 109 1.1 1010 calcite 3.36 109 aragonite 6 109 3.45 1011 2.07 1033 4.93 105 4.87 1017 8 1019 2.79 1039 9.91 1016 7.4 1014 3.3 108 2.53 108 2.5 1013 2.6 105 6.82 106 7.1 109 5.16 1011 1.2 1011 5.61 1012 1.04 1024 4.0 1014 2 1013 5.6 1010 3.8 107 1.46 1010 negative log ksp 33.5 20 8.6 10 8.5 8.2 10.5 32.7 4.3 16.3 18.1 38.6 15 13.1 7.5 7.6 12.6 4.58 5.17 8.15 10.3 10.9 11.25 24 13.4 12.7 9.25 6.42 9.84 the following design practices can be used to prevent scaling of a membrane . 2.3.2 acid addition most natural surface and ground waters are almost saturated with caco3 . the solubility of caco3 depends on the ph , as can be seen from the following equation ca2 hco3 h caco3 by adding h as acid , the equilibrium can be shifted to the left side to keep calcium carbonate dissolved . use foodgrade quality acid . sulfuric acid is easier to handle and in many countries more readily available than hydrochloric acid , however ,"
